mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000175315.3	-0.0439361611146109	-0.0610831693768056	-0.0438863838955443	cov1_slope	344.181890514142	Significant	Significant	Not
ENSG00000189057.11	-0.0085022388748347	0.00231507022926046	-0.00846305893325115	cov1_slope	275.107569821058	Not	Not	Significant
ENSG00000038427.16	0.00554738944393325	-0.00529598285621076	0.00550496290215112	cov1_slope	254.585220228101	Not	Not	Significant
ENSG00000197024.8	-0.0217520623093908	0.0057622677944393	-0.0218946797439375	cov1_slope	192.991404280853	Not	Not	Significant
ENSG00000185347.17	0.0362334529862464	0.0128582337030238	0.0360680048593262	cov1_slope	140.377318729328	Significant	Not	Not
ENSG00000147676.14	-0.0280894828584426	-0.046305876821356	-0.0282185432506691	cov1_slope	140.059099335617	Significant	Significant	Significant
ENSG00000165215.6	-0.0183886356010992	-0.0634206688320127	-0.0187701362164016	cov1_slope	116.862973788148	Not	Significant	Significant
ENSG00000173581.7	-0.0397865432094067	-0.0711554009297497	-0.0400871989698857	cov1_slope	103.172229128481	Significant	Not	Not
ENSG00000257529.5	-0.01855986231434	-0.0333301424538041	-0.018711126492484	cov1_slope	96.6120254923364	Not	Significant	Not
ENSG00000188549.12	-0.0262220212227074	-0.0124438647392752	-0.0263785498623719	cov1_slope	88.0498159312639	Not	Not	Significant
ENSG00000104529.17	-0.00240014493284991	-0.0124104615313691	-0.00228608167655804	cov1_slope	87.7560347318343	Not	Significant	Not
ENSG00000139354.11	0.0615399033782205	0.0895419905907054	0.0611772399046998	cov1_slope	77.0583636332678	Significant	Significant	Significant
ENSG00000151376.16	-0.0303974106366287	-0.0181409124840301	-0.0305704177560469	cov1_slope	70.8671027040194	Significant	Not	Not
ENSG00000180573.9	0.0388606517268734	0.0484843261560867	0.0390115405287753	cov1_slope	62.7545167801898	Significant	Significant	Significant
ENSG00000105866.15	0.0309830366430036	0.0388694019989754	0.0311075308837257	cov1_slope	62.3307051837521	Significant	Not	Significant
ENSG00000142798.20	-0.00515570007005895	-0.0271668939100808	-0.00480197573816217	cov1_slope	62.2097570679275	Not	Not	Significant
ENSG00000198380.12	0.0108596871906849	-0.00398941832792152	0.0106231927508079	cov1_slope	61.793741676503	Not	Not	Significant
ENSG00000167468.16	-0.0149495118842956	-0.0435980680330037	-0.0154563115475748	cov1_slope	55.4891723320282	Not	Significant	Not
ENSG00000008952.17	-0.0079176297918742	-0.0280286073954513	-0.00828347452536721	cov1_slope	53.9553520766097	Not	Significant	Not
ENSG00000139263.11	0.00886089238913925	0.0233173029342846	0.00912635922457107	cov1_slope	53.4459236164769	Not	Not	Significant
ENSG00000085840.13	0.0103023645005133	0.0228476889480211	0.0105635681994174	cov1_slope	47.0202990424711	Not	Not	Significant
ENSG00000271303.1	-0.0216226205033416	-0.000501870665023079	-0.0211773317394742	cov1_slope	46.4457340616492	Not	Not	Significant
ENSG00000104517.13	0.0278309825688466	0.0556778265757628	0.0271802878344126	cov1_slope	42.7506605425827	Significant	Significant	Significant
ENSG00000154839.10	0.074162797214394	0.0458052013530802	0.0734881058090027	cov1_slope	41.1052652996595	Significant	Not	Significant
ENSG00000104870.12	-0.0291041487519565	-0.0635501458468281	-0.0299314737036905	cov1_slope	40.57835813426	Significant	Significant	Not
ENSG00000138678.11	-0.074498097001869	-0.0353038482041852	-0.0755407118187047	cov1_slope	37.6854763883171	Significant	Not	Not
ENSG00000270299.1	-0.0195664535547022	-0.00279989961056954	-0.0200139505227157	cov1_slope	37.4765238942329	Not	Not	Significant
ENSG00000134954.14	-0.0138711617653547	-0.0211102469641628	-0.0136750752109555	cov1_slope	36.9133547728016	Not	Significant	Not
ENSG00000198910.13	-0.0882346648139685	-0.128222932570307	-0.0870604771849349	cov1_slope	33.9161543907301	Significant	Significant	Significant
ENSG00000116729.14	-0.0236998593369258	-0.0380136637756325	-0.0241172761511141	cov1_slope	33.2777758849645	Significant	Not	Not
ENSG00000113732.9	-0.0132653791142508	-0.0297215287838534	-0.0137544208520626	cov1_slope	32.6396298453156	Not	Not	Significant
ENSG00000101182.15	-0.0104458998732992	-0.0257160456733058	-0.00995862486757111	cov1_slope	31.3302511830518	Not	Significant	Not
ENSG00000071082.11	-0.0158642706317922	-0.0269506190599901	-0.0155033687971436	cov1_slope	30.7116276678944	Not	Significant	Significant
ENSG00000281398.4	-0.0105408854662419	-0.0196022040670433	-0.0108324289180119	cov1_slope	30.0767862327275	Not	Significant	Significant
ENSG00000187720.14	-0.038259749178752	-0.0230350085509728	-0.0388023326994681	cov1_slope	28.0744678579945	Significant	Not	Not
ENSG00000168575.10	-0.0245507141731621	-0.011709860041665	-0.0250523581314803	cov1_slope	25.6045239169724	Significant	Not	Significant
ENSG00000116521.11	-0.0229887918815599	-0.00581005904137309	-0.0223382811122273	cov1_slope	25.4155072301241	Significant	Not	Not
ENSG00000123066.8	0.0125002668187594	0.0490511073855389	0.0138887570330328	cov1_slope	25.3009210987836	Not	Significant	Not
ENSG00000049759.18	0.023585296912155	0.0413521559827345	0.024260480771684	cov1_slope	25.3007501793311	Significant	Significant	Significant
ENSG00000174791.11	-0.0470950734542449	-0.0677702701979905	-0.0462736745693659	cov1_slope	25.1417594498494	Significant	Not	Significant
ENSG00000058799.15	-0.0282069659855733	-0.0188329334722222	-0.0278441222749876	cov1_slope	24.8407124728115	Not	Not	Significant
ENSG00000254986.7	-0.0192583968970272	-0.0328160848162717	-0.0186911612284371	cov1_slope	23.8933747041422	Significant	Not	Not
ENSG00000153827.13	0.0153870741997088	0.0333174466981595	0.0161669834044362	cov1_slope	21.9818138056412	Not	Significant	Significant
ENSG00000163625.15	0.0170657573146771	0.0310010734941237	0.0176821589983948	cov1_slope	21.6009301096676	Not	Not	Significant
ENSG00000188486.3	0.0334393153128851	-0.00652020065125735	0.0316341999556228	cov1_slope	21.1533035188428	Significant	Significant	Not
ENSG00000167965.18	-0.0170543018520475	-0.0324628403389621	-0.0163227697799996	cov1_slope	21.0559253114698	Not	Significant	Not
ENSG00000110172.12	0.0104713523009664	0.0441279447250726	0.0120341071553894	cov1_slope	20.5213732055105	Not	Significant	Significant
ENSG00000122299.12	0.0121709882033594	0.0549383050687132	0.0100582654048961	cov1_slope	20.2194240420809	Not	Significant	Not
ENSG00000234678.2	0.0654543648896305	0.123545538618154	0.0682003574673601	cov1_slope	20.055637304733	Significant	Significant	Not
ENSG00000087269.16	-0.0236065146957257	-0.0402455728568889	-0.0227739985607561	cov1_slope	19.976398531164	Significant	Not	Not
ENSG00000167085.11	-0.017415541492109	-0.0232828473580717	-0.0177017685474803	cov1_slope	19.496555424181	Significant	Significant	Not
ENSG00000051523.11	0.0139096622830873	-0.0126447796792768	0.0152795868254399	cov1_slope	19.3868569407329	Not	Significant	Not
ENSG00000159459.12	0.0139914365690369	0.0517248322600868	0.0158837647056267	cov1_slope	18.9207913423849	Not	Significant	Significant
ENSG00000166439.6	0.0116795696543641	0.03462078080228	0.0104059468343187	cov1_slope	18.0043248357345	Not	Significant	Not
ENSG00000122547.11	0.0254307400584398	0.0296299105104366	0.0256603651546722	cov1_slope	17.2851194073834	Significant	Not	Not
ENSG00000106541.12	-0.0106094805326412	-0.035388332950119	-0.0119928616626148	cov1_slope	16.9037107880507	Not	Not	Significant
ENSG00000169398.19	0.0126368928633322	0.0177780038153063	0.0129259289463751	cov1_slope	16.7858439426465	Not	Not	Significant
ENSG00000110931.19	-0.0244428159801808	-0.0344503248353176	-0.0250092518404182	cov1_slope	16.6628454276146	Significant	Not	Not
ENSG00000118058.21	0.0260736410038536	0.0501916140752608	0.0245724505042593	cov1_slope	16.0520882810582	Significant	Significant	Significant
ENSG00000138182.14	0.0606706966098175	0.0489395010385088	0.0599696341427638	cov1_slope	15.743856777216	Significant	Significant	Significant
ENSG00000129625.13	-0.0275008460717933	-0.0583778896128545	-0.0293793533568209	cov1_slope	15.4187425131076	Significant	Significant	Not
ENSG00000120694.19	0.0023919808030546	0.0434149435964186	0.00496674634236757	cov1_slope	14.9223425122256	Not	Significant	Not
ENSG00000125995.16	0.0069082064488604	-0.0215106484648644	0.00886845724393428	cov1_slope	14.496719280758	Not	Significant	Not
ENSG00000055732.13	-0.053089636264009	-0.0381907943949441	-0.052122421528105	cov1_slope	14.4141005067155	Significant	Not	Not
ENSG00000114631.11	-0.0198740563477367	-0.0692479788361014	-0.0163338615594785	cov1_slope	13.9208064710905	Not	Significant	Not
ENSG00000105372.7	-0.0112699993133355	-0.0178899524631438	-0.0107936211626369	cov1_slope	13.8951118094699	Not	Significant	Not
ENSG00000126267.10	-0.00616078635697415	-0.0175629078723005	-0.00692683807861766	cov1_slope	13.8826540249338	Not	Significant	Not
ENSG00000121207.12	-0.0550846005090445	-0.08290224663945	-0.0530243032864911	cov1_slope	13.4762183934786	Significant	Significant	Significant
ENSG00000089723.10	-0.0355300299181667	-0.0419022409487608	-0.0350467138446943	cov1_slope	13.180972223035	Significant	Significant	Significant
ENSG00000172331.12	0.0237842111831569	-0.00391032182651325	0.0218237178460372	cov1_slope	13.1313604583758	Not	Not	Significant
ENSG00000116096.6	-0.00991394895728515	-0.0349768201149059	-0.0117374820979767	cov1_slope	12.7381027680357	Not	Significant	Not
ENSG00000139926.15	-0.0222879957612233	-0.041261903597087	-0.0236852985800105	cov1_slope	12.572020607704	Significant	Significant	Significant
ENSG00000164086.10	-0.0440042894129714	-0.0552644763630281	-0.0448630914755166	cov1_slope	12.104969711223	Significant	Not	Not
ENSG00000119979.18	-0.0448525854638851	-0.0679043351021851	-0.0466438817896456	cov1_slope	11.8542695831172	Significant	Not	Not
ENSG00000121621.7	0.071243883680738	0.0841421819444622	0.0722637971484351	cov1_slope	11.6351368801062	Significant	Significant	Significant
ENSG00000107738.20	0.0535167580491115	0.0189521581150052	0.0507207506081485	cov1_slope	11.3782376743647	Significant	Not	Not
ENSG00000111897.7	-0.0151426023844549	-0.0285095194858263	-0.0139476280000372	cov1_slope	11.1828188728159	Not	Significant	Not
ENSG00000135046.14	-0.0430649094769898	-0.0357701393423581	-0.0424609653159949	cov1_slope	11.0818134217111	Significant	Significant	Significant
ENSG00000156030.13	0.00515770325432425	0.0363967520430549	0.00229946911353227	cov1_slope	10.9240493248287	Not	Significant	Not
ENSG00000137193.14	-0.00647152337050765	0.0789558156994128	-0.0142939254403187	cov1_slope	10.9011802654041	Not	Significant	Not
ENSG00000115020.17	0.0189759234527355	0.0359598526911399	0.0173941986058141	cov1_slope	10.7327985077173	Not	Not	Significant
ENSG00000139146.14	0.00275420848183183	0.0109087327555409	0.00198401307872802	cov1_slope	10.5871116480878	Not	Significant	Not
ENSG00000109971.14	-0.0136056919362896	0.00435502966740095	-0.0153727679844314	cov1_slope	10.1657366507947	Not	Significant	Significant
ENSG00000006451.8	-0.0175082174120753	-0.0289947657892846	-0.0185511630577645	cov1_slope	10.0110712023461	Not	Not	Significant
ENSG00000101972.18	0.0246602552338119	0.0353358368717407	0.0256299020354589	cov1_slope	10.0067163091601	Significant	Significant	Significant
ENSG00000144426.18	0.0243955015687861	0.0313178396188541	0.0236909162769226	cov1_slope	9.82271683978309	Significant	Not	Not
ENSG00000163235.16	-0.0357776597819123	-0.0198892953557982	-0.0373981190763421	cov1_slope	9.81017447261259	Significant	Significant	Significant
ENSG00000102931.8	-0.0345348562432914	-0.0179749807855032	-0.0329832520532141	cov1_slope	9.67730690293302	Significant	Not	Not
ENSG00000123975.5	0.049536598698147	0.0335150163285174	0.0512325483946564	cov1_slope	9.45444825454405	Significant	Not	Significant
